neighborhood,lat,lon,distanceFromCenter,distanceFromCenterLat,distanceFromCenterLon
AEROPORTO,-20.2616507,-40.2833315,4.188694932299001,3.981838463042421,1.299899188541479
ANDORINHAS,-20.287964,-40.3056718,1.4867641877006694,1.0687525500010242,1.0335228939231393
ANTÔNIO HONÓRIO,-20.2631207,-40.2980132,3.8262368218237417,3.8190983191722445,0.23358975243041233
ARIOVALDO FAVALESSA,-20.3146828,-40.35638489999999,6.606018850151058,1.8892342992102358,6.330455640737144
BARRO VERMELHO,-20.2949779,-40.2980132,0.374138848630066,0.29225807307677654,0.23358975243041233
BELA VISTA,-20.3037218,-40.348414,5.539170383078488,0.6757620244203053,5.497903087410353
BENTO FERREIRA,-20.3142092,-40.3079257,2.232461270834243,1.8368028774900997,1.2689405037927635
BOA VISTA,-20.2713455,-40.2992897,2.931606366051529,2.908550104979544,0.36691890596685445
BONFIM,-20.3005529,-40.3133294,1.861907676663606,0.3249391807253931,1.8333515858568115
CARATOÍRA,-20.3153468,-40.3528778,6.278480264506288,1.9627445743028145,5.964142544804002
CENTRO,-20.3196699,-40.338479,5.084364819004972,2.44134752726756,4.460202244018885
COMDUSA,-20.2855012,-40.3352805,4.338844512000517,1.3414039370890454,4.126122107475144
CONQUISTA,-20.2781344,-40.323538,3.6140568708435112,2.156966350734113,2.899629685022336
CONSOLAÇÃO,-20.3062424,-40.3126913,2.0081666425327223,0.9548129086388383,1.7667026765271705
CRUZAMENTO,-20.310337,-40.322262,3.1040104127600143,1.4081185430235994,2.766352756432756
DA PENHA,-20.297582,-40.310777,1.566761141409908,0.0039633473132897985,1.5667559485011708
DE LOURDES,-20.307199,-40.3158817,2.352569318906413,1.0607163160950612,2.0999367782024985
DO CABRAL,-20.3155332,-40.3477763,5.781814762690606,1.9833805922895122,5.431295958427477
DO MOSCOSO,-20.3149307,-40.3433121,5.321868986249884,1.9166788726480053,4.965014720292538
DO QUADRO,-20.3170592,-40.35000830000001,6.059224911727229,2.1523213998342876,5.6644261322294005
ENSEADA DO SUÁ,-20.3194015,-40.2960984,2.411867312001467,2.411633418798653,0.03359079967001409
ESTRELINHA,-20.293488,-40.3477763,5.45057713441963,0.45720189688177393,5.431295958427477
FONTE GRANDE,-20.3134557,-40.33757190000001,4.704214043635666,1.7533842256778442,4.365456553312301
FORTE SÃO JOÃO,-20.320574,-40.3229,3.8057283433276727,2.5414389105259345,2.832991220732458
FRADINHOS,-20.3069131,-40.3280037,3.5197598785161515,1.0290648574377668,3.366067600031815
GOIABEIRAS,-20.2724733,-40.30631,2.9932504528088297,2.783693959732517,1.1001822482121322
GRANDE VITÓRIA,-20.2886902,-40.340761,4.801513403683493,0.9883564669559405,4.698554868931298
GURIGICA,-20.3059062,-40.3050336,1.3329486055626498,0.9175928344615137,0.9668635396310313
HORTO,-20.3096158,-40.3104579,2.028677317133258,1.328275802222577,1.5334262713747442
ILHA DAS CAIEIRAS,-20.2774151,-40.3350205,4.669696701742615,2.2365984533599472,4.098965366640797
ILHA DE SANTA MARIA,-20.3170841,-40.3177959,3.1516847042849006,2.1550780357983497,2.299873061155614
ILHA DO BOI,-20.4176812,-34.5631088,598.6576499009142,13.292073197075016,598.741381263484
ILHA DO FRADE,-20.3027641,-40.2844963,1.3087385772059783,0.5697368801081105,1.1782369888201372
ILHA DO PRÍNCIPE,-20.3226121,-40.3509648,6.393659611776564,2.767073555478769,5.764331603135217
ILHAS OCEÂNICAS DE TRINDADE,-20.5080654,-29.3308425,1144.5245051865957,23.298518920175333,1145.0654809655691
INHANGUETÁ,-20.299528,-40.3458631,5.23570462013593,0.21147449378664174,5.231464126458003
ITARARÉ,-20.2953996,-40.3075863,1.257706785734026,0.2455725115718151,1.2334905118755541
JABOUR,-20.2584011,-40.29290690000001,4.351932170257408,4.341593721068074,0.29975819642873075
JARDIM CAMBURI,-20.2592187,-40.26545309999999,5.301491244604885,4.251079239838895,3.1672802566082447
JARDIM DA PENHA,-20.2850907,-40.2960984,1.3872562911725523,1.3868495177505535,0.03359079967001409
JESUS DE NAZARETH,-20.3188643,-40.3024808,2.4541619236284102,2.3521609212747694,0.7002261224280834
JOANA D´ARC,-20.2843585,-40.31651979999999,2.6171075823620327,1.467909814931377,2.1665856874939653
JUCUTUQUARA,-20.3085919,-40.31971,2.77931450756718,1.2149217060492787,2.4997988991310125
MARIA ORTIZ,-20.258305,-40.2999279,4.373781785569279,4.352232714699597,0.433578260282539
MARUÍPE,-20.296341,-40.31971,2.503802333234875,0.1413519969429512,2.4997988991310125
MATA DA PRAIA,-20.2751185,-40.2922686,2.517662012613852,2.4908498859206127,0.36642799564777856
MONTE BELO,-20.3152551,-40.3133294,2.6783232573305598,1.9525926278482952,1.8333515858568115
MORADA DE CAMBURI,-20.2720492,-40.2967367,2.8324204322717175,2.830645097632537,0.10026059889052362
MÁRIO CYPRESTE,-20.3195399,-40.3554284,6.686135287902701,2.4269554477904967,6.230550170116265
NAZARETH,-20.3104801,-40.3162007,2.564774864105731,1.4239608846377798,2.1332560104000926
NOVA PALESTINA,-20.272615,-40.3280037,4.358220887689436,2.7680066773587035,3.366067600031815
PARQUE INDUSTRIAL,-20.3726406,-34.5522692,599.7862072948551,8.305661667783683,599.8733956265614
PARQUE MOSCOSO,-20.3206188,-40.3426743,5.5204073857627805,2.5463986430918037,4.898397146254264
PIEDADE,-20.3141932,-40.3404421,5.0129378707022605,1.8350315457239204,4.665246081878189
PONTAL DE CAMBURI,-20.2900766,-40.2980132,0.8669350647937893,0.8348710043213213,0.23358975243041233
PRAIA DO CANTO,-20.2996261,-40.2922686,0.4286030530208993,0.22233495353911442,0.36642799564777856
PRAIA DO SUÁ,-20.3130059,-40.2992897,1.7426494554623824,1.7035876669439884,0.36691890596685445
REDENÇÃO,-20.2791758,-40.3286416,3.9941496247508272,2.0416752621755534,3.432695619327743
REPÚBLICA,-20.270654,-40.29290690000001,3.000119869003044,2.9851044723165523,0.29975819642873075
RESISTÊNCIA,-20.2729812,-40.3177959,3.567817281820778,2.7274655131260923,2.299873061155614
ROMÃO,-20.3125183,-40.3254519,3.51103932772507,1.6496063402668368,3.0995346329248594
SANTA CECÍLIA,-20.3041278,-40.320348,2.6656608471016088,0.7207095152235433,2.566437363471241
SANTA CLARA,-20.3186884,-40.3452254,5.666883605446396,2.3326873325033275,5.164856997394908
SANTA HELENA,-20.3095138,-40.2941835,1.3274557446521023,1.3169835681978563,0.1664185979912742
SANTA LUÍZA,-20.2914708,-40.3018426,0.9298025966408888,0.6805219954117572,0.6335667681202714
SANTA LÚCIA,-20.3024142,-40.2999279,0.6855256730362486,0.5310001199270091,0.433578260282539
SANTA MARTHA,-20.2873442,-40.3101388,1.8825639606156397,1.1373693063277883,1.500096594246146
SANTA TEREZA,-20.3110702,-40.348414,5.695815345120338,1.4892897887476104,5.497903087410353
SANTO ANDRÉ,-20.2793443,-40.332469,4.333833652618452,2.0230209989116315,3.832463734825797
SANTO ANTÔNIO,-20.3096593,-40.35351550000001,6.176104263939525,1.3330916079498885,6.030749673616758
SANTOS DUMONT,-20.3019461,-40.3171578,2.284023382499096,0.4791776660978011,2.233224151879079
SANTOS REIS,-20.2838914,-40.3337448,4.247065776809186,1.5196214541310675,3.965719773212725
SEGURANÇA DO LAR,-20.263254,-40.2964175,3.804929665704905,3.8043409972952604,0.06692047683004122
SOLON BORGES,-20.2613736,-40.2954601,4.012651910924259,4.012515530646031,0.03307899955061937
SÃO BENEDITO,-20.3010893,-40.3069481,1.228482306112914,0.3843229874355887,1.1668311575957653
